time,date,item_purchased,quantity,amount_usd,retailer,person
10:53,2026-09-01,Brass belt buckle,1,22.00,Gilded Thrift,Esh
01:14,2026-09-02,Black turtleneck,1,42.00,Bare Minimum,Esh
14:04,2026-09-02,Beeswax candles,1,18.00,Field Notes Market,Esh
15:20,2026-09-03,Iced matcha,1,7.50,Ichi Matcha,Esh
20:44,2026-09-03,Knit tank,1,32.00,Oat & Ivory,Esh
22:32,2026-09-03,Silver charm bracelet,1,46.00,Nine Lanterns,Esh
14:44,2026-09-04,Velvet skirt,1,42.00,Velvet Attic,Esh
19:30,2026-09-04,Ribbed socks,1,12.00,Quiet Cotton,Esh
20:20,2026-09-04,Silver drop earrings,1,38.00,Halo & Hare,Esh
13:55,2026-09-05,Vintage 90s baby tee,1,26.00,Threadbare Vintage,Esh
15:39,2026-09-05,Embroidered vest,1,44.00,Curio & Cloth,Esh
13:42,2026-09-06,Vintage Levi's shorts,1,36.00,Paper Moon Vintage,Esh
00:40,2026-09-07,Silver hoop earrings,1,30.00,Quill & Ember,Esh
11:01,2026-09-07,Wool coat,1,68.00,The Wardrobe Exchange,Esh
20:25,2026-09-08,Tinted lip oil,1,18.00,Bloom Apothecary,Esh
00:38,2026-09-09,Linen shirt,1,58.00,Everyday Linen,Esh
12:37,2026-09-09,Vintage straight jeans,1,54.00,Dust & Denim,Esh
13:39,2026-09-09,Sparkling lemonade,1,5.25,Cloud Nine Juice,Esh
10:44,2026-09-10,Dried flower bunch,1,24.00,Tin & Tulip,Esh
14:05,2026-09-10,Adidas Samba,1,100.00,Adidas,Esh
16:30,2026-09-10,Iced matcha,1,8.00,Leaf Society,Esh
23:52,2026-09-11,Snail mucin essence,1,34.00,Dewdrop Seoul,Esh
18:15,2026-09-12,Sheet mask (5-pack),1,12.00,Petal & Pore,Esh
22:45,2026-09-12,Silver ear cuff,1,26.00,Sable Studio,Esh
23:28,2026-09-12,Silver signet ring,1,48.00,Silver & Sons,Esh
09:50,2026-09-14,Oat flat white,1,5.75,Nook Café,Esh
12:53,2026-09-14,Silk slip dress,1,58.00,Retro Row,Esh
14:31,2026-09-16,Aloe soothing gel,1,16.00,Olive & Aloe,Esh
00:57,2026-09-17,White tee,1,24.00,Halfmoon Basics,Esh
20:47,2026-09-17,Silver pendant,1,52.00,Moonlit Metals,Esh
00:58,2026-09-18,Silver anklet,1,28.00,Verity & Vale,Esh
01:30,2026-09-18,Retinal night cream,1,42.00,Dewdrop Seoul,Esh
00:05,2026-09-19,Canvas tote bag,1,20.00,Plain Sight,Esh
17:30,2026-09-20,Vintage leather jacket,1,84.00,Marlowe Vintage,Esh
21:07,2026-09-21,Ceramide moisturizer,1,38.00,Skinfolk,Esh
13:02,2026-09-23,Cashmere sweater,1,48.00,Second Wind Resale,Esh
15:34,2026-09-23,Vintage wool blazer,1,46.00,Marlowe Vintage,Esh
01:09,2026-09-24,Silver brooch,1,40.00,Fable Metals,Esh
22:06,2026-09-24,Silver cuff bracelet,1,62.00,Lumen Silver,Esh
13:40,2026-09-25,Cold foam coffee,1,5.75,Kudo Bakery,Esh
20:26,2026-09-25,Silver chain necklace,1,56.00,Silver & Sons,Esh
23:18,2026-09-26,Crew socks (3-pack),1,14.00,Halfmoon Basics,Esh
10:42,2026-09-27,Linen throw pillow,1,32.00,Hearth & Home,Esh
22:45,2026-09-27,Stacking rings,1,34.00,Orbit Jewelry,Esh
23:36,2026-09-27,Rice water toner,1,24.00,Glow Theory,Esh
00:29,2026-09-28,Linen trousers,1,68.00,Oat & Ivory,Esh
11:04,2026-09-28,Iced hojicha,1,6.25,Kudo Bakery,Esh
20:07,2026-09-29,Ribbed cardigan,1,64.00,Loom & Lane,Esh
22:45,2026-09-29,Black tank,1,22.00,Plain Sight,Esh
14:17,2026-09-30,Antique locket,1,52.00,Hollow Oak Antiques,Esh
